 Year Mon       Okhotsk    Bering Sea    Hudson Bay    Baffin Bay     Greenland  Kara-Barents  Arctic Ocean     Can. Arch  St. Lawrence         Total
 2003   1        594625        278982       1109705        742267        501683       1629902       6873209        705190         50205      12485769
 2003   2        854368        417768       1189604        990097        463615       1643219       6966492        712170        145843      13383176
 2003   3        856930        435804       1180416       1041618        525829       1678417       7004610        718357        167187      13609168
 2003   4        481857        294906       1139417        939950        499517       1593963       6975807        714973         53116      12693505
 2003   5        101581         63184        957758        693333        504192       1426457       6721625        696857         31465      11196453
 2003   6         28448         19366        652407        358410        397962       1130546       6221194        619787          2961       9431083
 2003   7             0           750        141084         89475        224900        734723       4805034        466075             0       6462041
 2003   8             0             0         23904         27446         75882        439473       3902494        358699             0       4827898
 2003   9             0           380         12562         29782         80830        362374       3576968        306944             0       4369839
 2003  10         12129          3366         12500         47455        269741        536271       4981554        435447          1055       6299516
 2003  11         21990         15445         89825        283900        355715       1034825       6420081        655706         22230       8899717
 2003  12        172969        158381        706635        565543        509210       1329321       6922751        716099         26295      11107204
 2004   1        493010        260599       1150400        746141        557519       1572383       6970852        726873         45918      12523696
 2004   2        679625        436010       1172002        861345        602839       1583552       7018962        726202         89280      13169818
 2004   3        667183        462077       1160010        961829        586093       1538856       7018762        721663        101485      13217957
 2004   4        348682        344973       1077898        880783        471055       1514951       7028145        723279         39766      12429531
 2004   5         96291         88370       1019175        675436        438067       1251665       6915120        725645         24729      11234497
 2004   6         36506         18145        809885        461977        364666        914287       6321722        623032          3424       9553646
 2004   7             0           715        294029        182415        191472        378250       5278548        490533             0       6815963
 2004   8             0             0         45518         41867         69741        145523       4300019        380404             0       4983073
 2004   9             0           298         12978         30831         81464        103244       4113032        369457             0       4711303
 2004  10         11669          5422         19907         51323        213443        404592       5449795        556606           487       6713243
 2004  11         20234         18987        243542        373676        359846        965289       6585254        697105         22956       9286889
 2004  12        170873        152955       1005183        670528        444057       1113792       6968695        729497         28335      11283914
 2005   1        429513        246793       1175965        921118        458260       1169854       7016791        727613         54996      12200904
 2005   2        554465        419528       1153101        990699        516837       1121237       6991442        733791        120118      12601218
 2005   3        576781        427162       1149586        850671        589793       1467699       7048001        731914        109625      12951232
 2005   4        373070        440937       1026196        810148        546528       1506501       7028014        721875         40478      12493747
 2005   5        145345        134519        969552        690272        499374       1245721       6782964        700000         25854      11193602
 2005   6         49119         17617        574491        449185        437649        804937       6203767        584461          3542       9124768
 2005   7             0           807         97470        159995        242722        283783       4973334        452590             0       6210701
 2005   8             0             0         14629         24867        182114         65222       3933972        297099             0       4517903
 2005   9             0          1568         10319         25933        236981         31257       3812487        274056             0       4392601
 2005  10         13338          3832         10173         90491        387708        252393       4823463        511891           658       6093947
 2005  11         18717         55574        133238        351613        455829        821465       6584580        683515         24815       9129345
 2005  12         72700        307486        816895        547478        454644        946286       6976716        720439         26871      10869515
 2006   1        289712        566836       1143277        828879        446837        999194       6889786        732314         28377      11925211
 2006   2        506871        530672       1168392        941351        500678       1203001       6937370        725642         56725      12570702
 2006   3        526606        469774       1141420        843446        559483       1351632       7022730        727741         54439      12697270
 2006   4        371400        473701       1084978        820743        511047       1245830       7021702        720836         29646      12279883
 2006   5        118033        247296        923272        640693        445823        894471       6771098        692410         27566      10760662
 2006   6         37252         27784        451270        377004        405502        634299       6214123        576526          3448       8727208
 2006   7             0           926         64808        102766        248597        226792       5039957        414266             0       6098111
 2006   8             0             0         14392         26961        154199         80964       4110718        233751             0       4620984
 2006   9             0          1130          9472         26631        191207        102530       3817930        185942             0       4334841
 2006  10         12082          3544         11587         50378        353946        449804       4928468        305214          1004       6116025
 2006  11         18322         17729         50994        210003        420929        805530       6269458        640411         20033       8453408
 2006  12        155213        135173        699157        571828        461421        957404       6759082        711626         23315      10474219
 2007   1        463616        445371       1115891        795349        511750       1061393       7004765        719293         33085      12150511
 2007   2        767587        376144       1157150        870704        538229       1328925       6986206        718700         83047      12826693
 2007   3        635870        546585       1152215        952963        533329       1200718       6984880        722119         79521      12808202
 2007   4        353770        403617       1074122        960796        572700       1096331       6901519        717672         31701      12112226
 2007   5        118430        151762        954272        787159        538538       1042482       6761103        702510         25522      11081777
 2007   6         31574          8819        618542        440198        442727        738147       5696114        549928          3145       8529194
 2007   7             0           821        111103        115135        271229        286514       4243979        411556             0       5440338
 2007   8             0             0         28911         25319        211704        100642       2970726        168429             0       3505731
 2007   9             0          1503          9851         25530        258207         33943       2663100        150177             0       3142310
 2007  10         12293          3305         14382         69234        375965        114346       3679055        379236           623       4648438
 2007  11         17964         13032        191676        379079        452187        633013       5992567        688847         20314       8388680
 2007  12        103077         94046        959924        673058        519153        905269       6489518        716936         24054      10485034
 2008   1        390499        407137       1160283       1038351        570378        983003       6982692        723202         47863      12303408
 2008   2        673700        606694       1172780       1198566        576899       1095345       7044808        716383        121104      13206278
 2008   3        594056        724050       1184503       1244360        578517       1284195       7058211        722067        138009      13527969
 2008   4        370966        608635       1144979       1037143        616399       1234021       7007641        721379         44549      12785713
 2008   5        129810        248380       1030762        753189        575356       1113390       6730117        686722         25248      11292975
 2008   6         31595          8726        637936        408732        420878        777580       6071992        547845          2621       8907905
 2008   7             0           500        171980        122032        262769        343933       4766249        458339             0       6125802
 2008   8             0             0         33127         20144        159642        106185       3338215        211431             0       3868743
 2008   9             0           468          9087         27272        120405         44306       2961150        183394             0       3346082
 2008  10         15340          4424         16611         83932        281727        223031       4820653        393771           700       5840189
 2008  11         21606         44647        182716        429017        411991        741379       6589768        667165         19811       9108099
 2008  12         84589        210240        904119        706668        462662        987342       6914853        709187         25433      11005094
 2009   1        283250        521996       1142163        869271        545317       1167383       7004136        713358         67754      12314626
 2009   2        545937        635974       1186328       1058590        554932       1292337       7028287        727233        156457      13186075
 2009   3        576600        584123       1179717       1187922        586755       1365046       7069573        719974        131621      13401330
 2009   4        324573        643646       1145927       1052977        589558       1386838       7006625        722052         34382      12906577
 2009   5        155021        230565       1043890        780345        470347       1233075       6864359        710159         23128      11510889
 2009   6         38918         16908        806321        408250        369618        813260       6214852        618676          2245       9289048
