year month   date        average   interpolated    trend    #days
2003   1    2003.042      374.88      374.88      374.63     30
2003   2    2003.125      375.64      375.64      374.77     27
2003   3    2003.208      376.46      376.46      374.80     28
2003   4    2003.292      377.73      377.73      375.06     27
2003   5    2003.375      378.60      378.60      375.55     30
2003   6    2003.458      378.28      378.28      376.03     25
2003   7    2003.542      376.70      376.70      376.19     29
2003   8    2003.625      374.38      374.38      376.08     23
2003   9    2003.708      373.17      373.17      376.48     25
2003  10    2003.792      373.14      373.14      376.47     30
2003  11    2003.875      374.66      374.66      376.81     26
2003  12    2003.958      375.99      375.99      376.75     27
2004   1    2004.042      377.00      377.00      376.78     30
2004   2    2004.125      377.87      377.87      377.02     29
2004   3    2004.208      378.88      378.88      377.23     28
2004   4    2004.292      380.35      380.35      377.62     26
2004   5    2004.375      380.62      380.62      377.48     28
2004   6    2004.458      379.69      379.69      377.39     21
2004   7    2004.542      377.47      377.47      376.94     25
2004   8    2004.625      376.01      376.01      377.74     16
2004   9    2004.708      374.25      374.25      377.62     15
2004  10    2004.792      374.46      374.46      377.82     29
2004  11    2004.875      376.16      376.16      378.31     29
2004  12    2004.958      377.51      377.51      378.31     30
2005   1    2005.042      378.46      378.46      378.21     31
2005   2    2005.125      379.73      379.73      378.93     24
2005   3    2005.208      380.77      380.77      379.27     26
2005   4    2005.292      382.29      382.29      379.65     26
2005   5    2005.375      382.45      382.45      379.31     31
2005   6    2005.458      382.22      382.22      379.88     28
2005   7    2005.542      380.74      380.74      380.18     29
2005   8    2005.625      378.74      378.74      380.42     26
2005   9    2005.708      376.70      376.70      380.01     26
2005  10    2005.792      377.00      377.00      380.30     14
2005  11    2005.875      378.35      378.35      380.50     23
2005  12    2005.958      380.11      380.11      380.90     26
2006   1    2006.042      381.38      381.38      381.14     24
2006   2    2006.125      382.19      382.19      381.38     25
2006   3    2006.208      382.67      382.67      381.14     30
2006   4    2006.292      384.61      384.61      381.92     25
2006   5    2006.375      385.03      385.03      381.87     24
2006   6    2006.458      384.05      384.05      381.75     28
2006   7    2006.542      382.46      382.46      381.91     24
2006   8    2006.625      380.41      380.41      382.08     27
2006   9    2006.708      378.85      378.85      382.16     27
2006  10    2006.792      379.13      379.13      382.46     23
2006  11    2006.875      380.15      380.15      382.33     29
2006  12    2006.958      381.82      381.82      382.64     27
2007   1    2007.042      382.89      382.89      382.67     24
2007   2    2007.125      383.90      383.90      383.01     21
2007   3    2007.208      384.58      384.58      382.94     26
2007   4    2007.292      386.50      386.50      383.71     26
2007   5    2007.375      386.56      386.56      383.34     29
2007   6    2007.458      386.10      386.10      383.84     26
2007   7    2007.542      384.50      384.50      384.02     27
2007   8    2007.625      381.99      381.99      383.70     22
2007   9    2007.708      380.96      380.96      384.32     21
2007  10    2007.792      381.12      381.12      384.47     29
2007  11    2007.875      382.45      382.45      384.65     30
2007  12    2007.958      383.94      383.94      384.83     21
2008   1    2008.042      385.52      385.52      385.28     31
2008   2    2008.125      385.82      385.82      384.96     26
2008   3    2008.208      386.03      386.03      384.48     30
2008   4    2008.292      387.21      387.21      384.58     24
2008   5    2008.375      388.54      388.54      385.45     25
2008   6    2008.458      387.76      387.76      385.46     23
2008   7    2008.542      386.35      386.35      385.79     10
2008   8    2008.625      384.09      384.09      385.75     25
2008   9    2008.708      383.18      383.18      386.46     27
2008  10    2008.792      382.99      382.99      386.27     23
2008  11    2008.875      384.19      384.19      386.37     28
2008  12    2008.958      385.56      385.56      386.41     29
2009   1    2009.042      386.94      386.94      386.63     30
2009   2    2009.125      387.48      387.48      386.59     26
2009   3    2009.208      388.82      388.82      387.32     28
2009   4    2009.292      389.55      389.55      386.92     29
2009   5    2009.375      390.14      390.14      387.02     30
2009   6    2009.458      389.48      389.48      387.24     29
2009   7    2009.542      388.03      388.03      387.55     22
2009   8    2009.625      386.11      386.11      387.80     27
2009   9    2009.708      384.74      384.74      388.01     28
2009  10    2009.792      384.43      384.43      387.68     30
2009  11    2009.875      386.02      386.02      388.16     30
2009  12    2009.958      387.42      387.42      388.23     20
2010   1    2010.042      388.71      388.71      388.41     30
2010   2    2010.125      390.20      390.20      389.26     20
2010   3    2010.208      391.16      391.16      389.65     25
2010   4    2010.292      392.46      392.46      389.89     26
2010   5    2010.375      393.00      393.00      389.88     28
2010   6    2010.458      392.15      392.15      389.89     28
2010   7    2010.542      390.20      390.20      389.72     29
2010   8    2010.625      388.35      388.35      390.01     26
2010   9    2010.708      386.85      386.85      390.14     29
2010  10    2010.792      387.24      387.24      390.53     31
2010  11    2010.875      388.67      388.67      390.79     28
2010  12    2010.958      389.79      389.79      390.60     29
2011   2    2011.125      391.86      391.86      390.94     28
2011   3    2011.208      392.60      392.60      391.07     29
2011   4    2011.292      393.25      393.25      390.63     28
2011   5    2011.375      394.19      394.19      391.02     30
2011   7    2011.542      392.51      392.51      392.04     26
2011   8    2011.625      390.13      390.13      391.83     27
2011   9    2011.708      389.08      389.08      392.40     26
2011  10    2011.792      389.00      389.00      392.33     31
2011  12    2011.958      391.86      391.86      392.66     28
2012   1    2012.042      393.12      393.12      392.89     30
2012   2    2012.125      393.86      393.86      393.04     26
2012   3    2012.208      394.40      394.40      392.80     30
2012   4    2012.292      396.18      396.18      393.43     29
2012   6    2012.458      395.71      395.71      393.45     28
2012   7    2012.542      394.36      394.36      393.92     26
2012   8    2012.625      392.39      392.39      394.17     30
2012   9    2012.708      391.11      391.11      394.54     27
2012  10    2012.792      391.05      391.05      394.41     28
2012  11    2012.875      392.98      392.98      395.02     29
2012  12    2012.958      394.34      394.34      395.04     29
2013   1    2013.042      395.55      395.55      395.40     28
2013   2    2013.125      396.80      396.80      396.02     25
2013   4    2013.292      398.41      398.41      395.53     22
2013   5    2013.375      399.79      399.79      396.40     28
2013   6    2013.458      398.61      398.61      396.28     26
2013   7    2013.542      397.32      397.32      396.92     21
2013  10    2013.792      393.70      393.70      397.04     28
2013  11    2013.875      395.16      395.16      397.14     30
2013  12    2013.958      396.84      396.84      397.59     30
2014   1    2014.042      397.85      397.85      397.62     31
2014   3    2014.208      399.77      399.77      398.20     24
2014   4    2014.292      401.38      401.38      398.55     28
2014   5    2014.375      401.78      401.78      398.45     22
2014   6    2014.458      401.25      401.25      398.96     28
2014   8    2014.625      397.03      397.03      398.87     21
2014   9    2014.708      395.38      395.38      398.88     21
2014  10    2014.792      396.03      396.03      399.38     24
2014  11    2014.875      397.28      397.28      399.32     27
2015   1    2015.042      399.98      399.98      399.75     30
